gn,gp,date,place,team,gf,ga,outcome,ot,totW,totL,totOT,streak,bSh,bPM,bPPG,bSHG,oSH,oPM,oPPG,oSHG,notes
205,41,1/5/08,Home,New Jersey Devils,4,3,W,,21,16,4,W 3,25,8,0,1,45,6,1,0,
206,42,1/8/08,Home,Carolina Hurricanes,0,1,L,,21,17,4,L 1,19,7,0,0,28,11,0,0,
207,43,1/10/08,Home,Montreal Canadiens,2,5,L,,21,18,4,L 2,25,16,0,0,32,10,2,0,
208,44,1/12/08,Away,Philadelphia Flyers,4,3,W,OT,22,18,4,W 1,32,14,2,0,24,16,2,0,
209,45,1/17/08,Home,Toronto Maple Leafs,2,3,L,SO,22,18,5,L 1,31,10,0,0,33,6,0,0,
210,46,1/19/08,Home,New York Rangers,4,3,W,SO,23,18,5,W 1,39,8,2,0,28,14,1,0,
211,47,1/20/08,Away,New York Rangers,3,1,W,,24,18,5,W 2,20,8,0,1,31,6,0,0,
212,48,1/22/08,Away,Montreal Canadiens,2,8,L,,24,19,5,L 1,31,20,0,0,24,30,2,0,
213,49,1/24/08,Home,New York Islanders,4,1,W,,25,19,5,W 1,30,6,2,0,29,6,0,0,
214,50,1/29/08,Home,Nashville Predators,3,1,W,,26,19,5,W 2,28,9,1,0,38,11,0,0,
215,51,1/31/08,Away,Ottawa Senators,4,1,W,,27,19,5,W 3,22,12,0,0,31,10,1,0,
216,52,2/2/08,Home,Detroit Red Wings,1,3,L,,27,20,5,L 1,23,8,0,0,32,8,1,0,
217,53,2/5/08,Home,Buffalo Sabres,2,4,L,,27,21,5,L 2,32,15,0,0,28,9,1,0,
218,54,2/8/08,Away,Buffalo Sabres,3,2,W,SO,28,21,5,W 1,37,10,0,0,23,10,1,0,
219,55,2/9/08,Home,Florida Panthers,3,6,L,,28,22,5,L 1,41,10,1,0,27,12,2,0,
220,56,2/12/08,Home,Carolina Hurricanes,2,3,L,,28,23,5,L 2,34,8,0,0,23,6,0,0,
221,57,2/13/08,Away,Pittsburgh Penguins,2,1,W,,29,23,5,W 1,33,16,0,0,21,12,1,0,
222,58,2/16/08,Away,Toronto Maple Leafs,3,4,L,OT,29,23,6,L 1,27,12,1,0,36,6,1,0,
223,59,2/19/08,Away,Carolina Hurricanes,3,2,W,SO,30,23,6,W 1,38,31,2,0,47,27,0,0,
224,60,2/21/08,Away,Florida Panthers,5,4,W,SO,31,23,6,W 2,48,12,2,0,27,20,0,0,
225,61,2/23/08,Away,Tampa Bay Lightning,5,3,W,,32,23,6,W 3,28,14,2,1,28,12,1,1,
226,62,2/26/08,Home,Ottawa Senators,4,0,W,,33,23,6,W 4,29,10,1,1,22,12,0,0,
227,63,2/28/08,Home,Pittsburgh Penguins,5,1,W,,34,23,6,W 5,31,15,1,0,28,19,0,0,
228,64,3/1/08,Home,Atlanta Thrashers,3,2,W,SO,35,23,6,W 6,35,8,0,0,28,10,0,0,
229,65,3/3/08,Away,Washington Capitals,2,10,L,,35,24,6,L 1,27,24,1,0,34,22,4,0,
230,66,3/4/08,Home,Florida Panthers,0,1,L,OT,35,24,7,L 2,40,10,0,0,32,8,0,0,
231,67,3/6/08,Home,Toronto Maple Leafs,2,8,L,,35,25,7,L 3,29,29,0,0,40,12,4,0,
232,68,3/8/08,Home,Washington Capitals,2,1,W,,36,25,7,W 1,28,20,2,0,24,41,1,0,
233,69,3/9/08,Away,New York Rangers,0,1,L,SO,36,25,8,L 1,29,13,0,0,35,13,0,0,
234,70,3/11/08,Away,Ottawa Senators,1,4,L,,36,26,8,L 2,29,6,0,0,25,8,2,0,
235,71,3/13/08,Home,Tampa Bay Lightning,1,3,L,,36,27,8,L 3,36,2,0,0,26,6,1,0,
236,72,3/15/08,Home,Philadelphia Flyers,3,2,W,OT,37,27,8,W 1,36,19,0,0,26,17,0,0,
237,73,3/16/08,Away,Washington Capitals,1,2,L,SO,37,27,9,L 1,40,8,1,0,33,10,1,0,
238,74,3/20/08,Home,Montreal Canadiens,2,4,L,,37,28,9,L 2,36,11,0,0,30,13,0,0,
239,75,3/22/08,Away,Montreal Canadiens,2,3,L,SO,37,28,10,L 3,35,16,0,0,31,22,0,0,
240,76,3/25/08,Away,Toronto Maple Leafs,6,2,W,,38,28,10,W 1,30,4,2,0,30,10,1,0,
241,77,3/27/08,Home,Toronto Maple Leafs,4,2,W,,39,28,10,W 2,34,4,1,0,32,6,1,0,
242,78,3/29/08,Home,Ottawa Senators,4,0,W,,40,28,10,W 3,31,15,1,1,34,17,0,0,
243,79,3/30/08,Away,Buffalo Sabres,1,2,L,OT,40,28,11,L 1,18,8,0,1,30,8,1,0,
244,80,4/2/08,Away,New Jersey Devils,2,3,L,SO,40,28,12,L 2,27,4,1,0,25,8,0,0,
245,81,4/4/08,Away,Ottawa Senators,2,1,W,,41,28,12,W 1,29,6,0,0,18,6,0,0,
246,82,4/5/08,Home,Buffalo Sabres,0,3,L,,41,29,12,L 1,17,6,0,0,28,4,2,0,End of season 08'
247,1,10/9/08,Away,Colorado Avalanche,5,4,W,,1,0,0,W 1,20,10,1,0,39,4,1,0,
248,2,10/11/08,Away,Minnesota Wild,3,4,L,,1,1,0,L 1,37,10,0,0,26,12,2,0,
249,3,10/15/08,Away,Montreal Canadiens,3,4,L,SO,1,1,1,L 2,34,25,1,0,28,29,1,1,
250,4,10/18/08,Away,Ottawa Senators,4,2,W,,2,1,1,W 1,27,10,1,0,23,4,1,0,
251,5,10/20/08,Home,Pittsburgh Penguins,1,2,L,SO,2,1,2,L 1,36,13,1,0,32,17,0,0,
252,6,10/21/08,Away,Buffalo Sabres,2,3,L,SO,2,1,3,L 2,32,8,1,0,30,12,1,0,
253,7,10/23/08,Home,Toronto Maple Leafs,2,4,L,,2,2,3,L 3,28,14,0,0,37,8,2,0,
254,8,10/25/08,Home,Atlanta Thrashers,5,4,W,,3,2,3,W 1,33,10,2,0,32,12,3,0,
255,9,10/27/08,Away,Edmonton Oilers,1,0,W,OT,4,2,3,W 2,36,6,1,0,27,10,0,0,
256,10,10/28/08,Away,Vancouver Canucks,1,0,W,,5,2,3,W 3,30,6,0,0,31,4,0,0,
257,11,10/30/08,Away,Calgary Flames,2,3,L,,5,3,3,L 1,31,10,0,0,38,6,2,0,
258,12,11/1/08,Home,Dallas Stars,5,1,W,,6,3,3,W 1,25,77,1,0,35,69,0,0,
259,13,11/6/08,Home,Toronto Maple Leafs,5,2,W,,7,3,3,W 2,35,8,2,0,36,6,0,0,
260,14,11/8/08,Home,Buffalo Sabres,3,1,W,,8,3,3,W 3,40,4,0,0,33,6,0,0,
261,15,11/12/08,Away,Chicago Blackhawks,2,1,W,SO,9,3,3,W 4,39,31,1,0,32,19,1,0,
262,16,11/13/08,Home,Montreal Canadiens,6,1,W,,10,3,3,W 5,31,9,2,0,28,13,0,0,
263,17,11/15/08,Away,New York Rangers,2,3,L,SO,10,3,4,L 1,25,15,0,1,31,9,0,0,
264,18,11/17/08,Away,Toronto Maple Leafs,3,2,W,,11,3,4,W 1,22,15,0,0,30,11,0,0,
265,19,11/19/08,Home,Buffalo Sabres,7,4,W,,12,3,4,W 2,23,10,2,0,29,16,1,0,
266,20,11/21/08,Home,Florida Panthers,4,2,W,,13,3,4,W 3,39,15,1,0,32,13,0,0,
267,21,11/22/08,Away,Montreal Canadiens,3,2,W,SO,14,3,4,W 4,27,10,0,0,35,6,0,0,
268,22,11/26/08,Away,Buffalo Sabres,2,3,L,,14,4,4,L 1,29,9,0,0,23,9,0,1,
269,23,11/28/08,Home,New York Islanders,7,2,W,,15,4,4,W 1,39,18,3,0,24,20,1,0,
270,24,11/29/08,Home,Detroit Red Wings,4,1,W,,16,4,4,W 2,19,8,0,0,30,4,1,0,
271,25,12/4/08,Away,Tampa Bay Lightning,3,1,W,,17,4,4,W 3,26,6,0,1,31,2,0,0,
272,26,12/6/08,Away,Florida Panthers,4,0,W,,18,4,4,W 4,32,4,1,0,27,6,0,0,
273,27,12/8/08,Home,Tampa Bay Lightning,5,3,W,,19,4,4,W 5,24,8,2,0,29,12,0,0,
274,28,12/10/08,Away,Washington Capitals,1,3,L,,19,5,4,L 1,34,4,0,0,26,6,1,0,
275,29,12/12/08,Away,Atlanta Thrashers,7,3,W,,20,5,4,W 1,25,30,2,0,33,39,2,0,
276,30,12/13/08,Home,Atlanta Thrashers,4,2,W,,21,5,4,W 2,29,23,2,0,22,19,0,0,
277,31,12/18/08,Home,Toronto Maple Leafs,8,5,W,,22,5,4,W 3,27,22,4,0,36,24,2,0,
278,32,12/20/08,Home,Carolina Hurricanes,4,2,W,,23,5,4,W 4,36,6,0,0,34,2,1,0,
279,33,12/21/08,Away,St. Louis Blues,6,3,W,,24,5,4,W 5,28,11,2,1,32,13,1,1,
280,34,12/23/08,Away,New Jersey Devils,2,0,W,,25,5,4,W 6,24,11,0,0,25,13,0,0,
281,35,12/27/08,Away,Carolina Hurricanes,4,2,W,,26,5,4,W 7,22,8,0,0,31,6,0,0,
282,36,12/28/08,Away,Atlanta Thrashers,2,1,W,,27,5,4,W 8,28,10,0,0,33,10,0,0,
283,37,12/30/08,Away,Pittsburgh Penguins,5,2,W,,28,5,4,W 9,40,13,2,1,34,23,0,0,
284,38,1/1/09,Home,Pittsburgh Penguins,4,2,W,,29,5,4,W 10,26,10,1,0,32,12,0,0,
285,39,1/3/09,Home,Buffalo Sabres,2,4,L,,29,6,4,L 1,31,8,1,0,25,8,1,0,
286,40,1/6/09,Home,Minnesota Wild,0,1,L,,29,7,4,L 2,28,12,0,0,24,6,1,0,
287,41,1/8/09,Home,Ottawa Senators,6,4,W,,30,7,4,W 1,22,7,0,0,30,9,0,0,
288,42,1/10/09,Home,Carolina Hurricanes,5,1,W,,31,7,4,W 2,32,11,1,0,30,15,0,0,
289,43,1/13/09,Home,Montreal Canadiens,3,1,W,,32,7,4,W 3,29,15,2,0,35,18,1,0,
290,44,1/15/09,Away,New York Islanders,2,1,W,,33,7,4,W 4,27,11,0,0,41,11,0,0,
291,45,1/17/09,Away,Washington Capitals,1,2,L,,33,8,4,L 1,24,10,1,0,30,8,1,0,
292,46,1/19/09,Home,St. Louis Blues,4,5,L,SO,33,8,5,L 2,26,10,2,0,31,12,1,0,
293,47,1/21/09,Away,Toronto Maple Leafs,4,3,W,SO,34,8,5,W 1,30,8,2,0,34,8,1,0,
294,48,1/27/09,Home,Washington Capitals,3,2,W,OT,35,8,5,W 2,28,17,2,0,36,15,0,0,
295,49,1/29/09,Home,New Jersey Devils,3,4,L,OT,35,8,6,L 1,27,7,0,0,30,13,1,1,
296,50,1/31/09,Home,New York Rangers,1,0,W,,36,8,6,W 1,27,2,0,0,35,2,0,0,
297,51,2/1/09,Away,Montreal Canadiens,3,1,W,,37,8,6,W 2,23,19,0,0,28,21,1,0,
298,52,2/4/09,Away,Philadelphia Flyers,3,1,W,,38,8,6,W 3,33,4,0,0,26,10,0,0,
299,53,2/5/09,Away,Ottawa Senators,4,3,W,SO,39,8,6,W 4,30,4,2,0,22,10,1,0,
300,54,2/7/09,Home,Philadelphia Flyers,3,4,L,OT,39,8,7,L 1,37,10,0,0,30,6,2,0,
301,55,2/10/09,Home,San Jose Sharks,2,5,L,,39,9,7,L 2,30,2,0,0,31,10,1,0,
302,56,2/13/09,Away,New Jersey Devils,0,1,L,,39,10,7,L 3,31,4,0,0,18,4,0,0,
303,57,2/14/09,Away,Nashville Predators,2,3,L,SO,39,10,8,L 4,25,12,0,0,31,8,0,1,
304,58,2/17/09,Away,Carolina Hurricanes,5,1,W,,40,10,8,W 1,34,12,2,2,32,10,0,0,
305,59,2/21/09,Away,Florida Panthers,0,2,L,,40,11,8,L 1,41,6,0,0,29,12,0,1,
306,60,2/22/09,Away,Tampa Bay Lightning,3,4,L,,40,12,8,L 2,43,22,1,0,18,20,1,0,
307,61,2/24/09,Home,Florida Panthers,6,1,W,,41,12,8,W 1,39,7,1,0,25,9,0,0,
308,62,2/26/09,Home,Anaheim Ducks,6,0,W,,42,12,8,W 2,27,18,2,0,35,40,0,0,
309,63,2/28/09,Home,Washington Capitals,3,4,L,OT,42,12,9,L 1,37,10,1,0,32,8,2,0,
310,64,3/3/09,Home,Philadelphia Flyers,2,4,L,,42,13,9,L 2,24,12,2,0,26,10,1,0,
311,65,3/5/09,Home,Phoenix Coyotes,1,2,L,,42,14,9,L 3,26,4,0,0,18,6,1,0,
312,66,3/7/09,Home,Chicago Blackhawks,5,3,W,,43,14,9,W 1,39,6,0,0,35,6,2,0,
313,67,3/8/09,Away,New York Rangers,3,4,L,,43,15,9,L 1,39,17,1,0,30,17,1,0,
314,68,3/10/09,Away,Columbus Blue Jackets,0,2,L,,43,16,9,L 2,35,13,0,0,34,13,1,0,
315,69,3/12/09,Home,Ottawa Senators,5,3,W,,44,16,9,W 1,22,15,1,1,28,11,0,0,
316,70,3/14/09,Home,New York Islanders,2,1,W,,45,16,9,W 2,25,8,0,0,22,8,0,0,
317,71,3/15/09,Away,Pittsburgh Penguins,4,6,L,,45,17,9,L 1,25,16,1,1,34,10,2,0,
318,72,3/19/09,Home,Los Angeles Kings,2,3,L,OT,45,17,10,L 2,26,6,0,0,38,8,1,0,
319,73,3/22/09,Home,New Jersey Devils,4,1,W,,46,17,10,W 1,30,12,2,0,42,8,0,0,
320,74,3/28/09,Away,Toronto Maple Leafs,7,5,W,,47,17,10,W 2,31,14,2,0,38,14,1,0,
321,75,3/29/09,Away,Philadelphia Flyers,4,3,W,,48,17,10,W 3,31,16,1,0,48,16,0,0,
322,76,3/31/09,Home,Tampa Bay Lightning,3,1,W,,49,17,10,W 4,39,27,2,0,25,29,0,0,
323,77,4/2/09,Home,Ottawa Senators,2,1,W,,50,17,10,W 5,33,10,0,0,32,8,0,0,
324,78,4/4/09,Home,New York Rangers,1,0,W,,51,17,10,W 6,24,8,0,0,31,8,0,0,
325,79,4/7/09,Away,Ottawa Senators,2,3,L,,51,18,10,L 1,33,10,1,0,32,8,1,1,
326,80,4/9/09,Home,Montreal Canadiens,5,4,W,OT,52,18,10,W 1,33,41,2,0,39,35,3,0,
327,81,4/11/09,Away,Buffalo Sabres,1,6,L,,52,19,10,L 1,35,8,1,0,34,10,1,0,
328,82,4/12/09,Away,New York Islanders,6,2,W,,53,19,10,W 1,33,8,2,0,34,10,0,0,End of season 09'
329,1,10/1/09,Home,Washington Capitals,1,4,L,,0,1,0,L 1,20,11,0,0,34,15,2,0,
330,2,10/3/09,Home,Carolina Hurricanes,7,2,W,,1,1,0,W 1,42,46,4,0,27,42,1,0,
331,3,10/8/09,Home,Anaheim Ducks,1,6,L,,1,2,0,L 1,34,4,0,0,30,12,2,1,
332,4,10/10/09,Home,New York Islanders,4,3,W,SO,2,2,0,W 1,30,14,0,0,38,10,1,0,
333,5,10/12/09,Home,Colorado Avalanche,3,4,L,,2,3,0,L 1,32,10,0,0,22,12,2,1,
334,6,10/16/09,Away,Dallas Stars,3,0,W,,3,3,0,W 1,29,6,1,0,27,2,0,0,
335,7,10/17/09,Away,Phoenix Coyotes,1,4,L,,3,4,0,L 1,23,13,0,0,36,9,2,0,
336,8,10/21/09,Home,Nashville Predators,3,2,W,,4,4,0,W 1,27,4,0,0,30,4,0,0,
337,9,10/22/09,Away,Philadelphia Flyers,3,4,L,SO,4,4,1,L 1,26,9,1,0,39,9,0,0,
338,10,10/24/09,Away,Ottawa Senators,4,3,W,SO,5,4,1,W 1,28,21,0,0,30,23,0,1,
339,11,10/29/09,Home,New Jersey Devils,1,2,L,,5,5,1,L 1,32,2,0,0,31,4,0,0,
340,12,10/31/09,Home,Edmonton Oilers,2,0,W,,6,5,1,W 1,27,4,0,0,19,2,0,0,
341,13,11/1/09,Away,New York Rangers,0,1,L,,6,6,1,L 1,29,4,0,0,23,10,0,0,
342,14,11/3/09,Away,Detroit Red Wings,0,2,L,,6,7,1,L 2,29,8,0,0,26,8,1,0,
343,15,11/5/09,Home,Montreal Canadiens,1,2,L,SO,6,7,2,L 3,43,6,0,0,26,8,0,0,
344,16,11/7/09,Home,Buffalo Sabres,4,2,W,,7,7,2,W 1,37,49,2,0,30,41,0,0,
345,17,11/10/09,Home,Pittsburgh Penguins,3,0,W,,8,7,2,W 2,29,4,0,1,27,2,0,0,
346,18,11/12/09,Home,Florida Panthers,0,1,L,SO,8,7,3,L 1,40,9,0,0,23,11,0,0,
347,19,11/14/09,Away,Pittsburgh Penguins,5,6,L,OT,8,7,4,L 2,33,11,1,0,33,13,0,0,
348,20,11/16/09,Home,New York Islanders,1,4,L,,8,8,4,L 3,29,17,0,0,21,13,0,0,
349,21,11/19/09,Away,Atlanta Thrashers,4,3,W,SO,9,8,4,W 1,42,14,1,0,35,4,1,0,
350,22,11/20/09,Away,Buffalo Sabres,2,1,W,OT,10,8,4,W 2,26,4,0,0,26,8,1,0,
351,23,11/23/09,Away,St. Louis Blues,4,2,W,,11,8,4,W 3,23,11,2,1,31,11,0,0,
352,24,11/25/09,Away,Minnesota Wild,2,1,W,SO,12,8,4,W 4,16,12,0,0,29,8,1,0,
353,25,11/27/09,Home,New Jersey Devils,1,2,L,SO,12,8,5,L 1,33,11,0,0,37,11,0,0,
354,26,11/28/09,Home,Ottawa Senators,4,3,W,SO,13,8,5,W 1,33,8,3,0,22,10,1,0,
355,27,12/2/09,Home,Tampa Bay Lightning,4,1,W,,14,8,5,W 2,39,10,1,0,40,6,0,0,
356,28,12/4/09,Away,Montreal Canadiens,1,5,L,,14,9,5,L 1,38,8,0,0,28,16,0,0,
357,29,12/5/09,Home,Toronto Maple Leafs,7,2,W,,15,9,5,W 1,33,20,2,0,33,34,0,0,
358,30,12/10/09,Home,Toronto Maple Leafs,5,2,W,,16,9,5,W 2,34,11,2,0,34,15,0,0,
359,31,12/12/09,Away,New York Islanders,2,3,L,OT,16,9,6,L 1,32,2,0,0,19,6,1,0,
360,32,12/14/09,Home,Philadelphia Flyers,1,3,L,,16,10,6,L 2,27,10,0,0,38,8,0,1,
361,33,12/18/09,Away,Chicago Blackhawks,4,5,L,SO,16,10,7,L 3,29,4,0,0,44,2,0,0,
362,34,12/19/09,Away,Toronto Maple Leafs,0,2,L,,16,11,7,L 4,25,12,0,0,31,6,0,0,
363,35,12/21/09,Away,Ottawa Senators,2,0,W,,17,11,7,W 1,29,4,0,0,29,10,0,0,
364,36,12/23/09,Home,Atlanta Thrashers,6,4,W,,18,11,7,W 2,31,8,3,0,29,10,0,0,
365,37,12/27/09,Away,Florida Panthers,2,1,W,,19,11,7,W 3,28,6,0,0,26,4,0,0,
366,38,12/28/09,Away,Tampa Bay Lightning,1,2,L,,19,12,7,L 1,32,19,0,0,39,13,1,0,
367,39,12/30/09,Home,Atlanta Thrashers,4,0,W,,20,12,7,W 1,30,8,1,0,18,10,0,0,
368,40,1/1/10,Home,Philadelphia Flyers,2,1,W,OT,21,12,7,W 2,26,11,1,0,25,13,0,0,NHL Winter Classic
369,41,1/4/10,Away,New York Rangers,2,3,L,,21,13,7,L 1,28,10,0,1,35,4,1,0,
370,42,1/5/10,Away,Ottawa Senators,4,1,W,,22,13,7,W 1,35,33,2,0,28,35,1,0,
371,43,1/7/10,Home,Chicago Blackhawks,2,5,L,,22,14,7,L 1,21,11,1,0,36,15,0,0,
372,44,1/9/10,Home,New York Rangers,1,3,L,,22,15,7,L 2,30,11,0,0,34,9,0,0,
373,45,1/13/10,Away,Anaheim Ducks,3,4,L,,22,16,7,L 3,30,24,0,0,32,20,1,0,
374,46,1/14/10,Away,San Jose Sharks,2,1,W,SO,23,16,7,W 1,31,4,0,0,42,4,0,0,
375,47,1/16/10,Away,Los Angeles Kings,3,4,L,SO,23,16,8,L 1,24,20,0,0,34,12,0,0,
376,48,1/18/10,Home,Ottawa Senators,1,5,L,,23,17,8,L 2,23,12,0,0,26,4,1,0,
377,49,1/21/10,Home,Columbus Blue Jackets,2,3,L,,23,18,8,L 3,34,13,0,0,25,11,1,0,
378,50,1/23/10,Home,Ottawa Senators,1,2,L,,23,19,8,L 4,33,2,0,0,23,2,0,0,
379,51,1/24/10,Away,Carolina Hurricanes,1,5,L,,23,20,8,L 5,28,8,1,0,20,8,1,0,
380,52,1/29/10,Away,Buffalo Sabres,1,2,L,,23,21,8,L 6,31,8,0,0,23,2,1,0,
381,53,1/30/10,Home,Los Angeles Kings,2,3,L,SO,23,21,9,L 7,33,15,2,0,29,29,2,0,
382,54,2/2/10,Home,Washington Capitals,1,4,L,,23,22,9,L 8,42,8,1,0,26,12,0,0,
383,55,2/4/10,Home,Montreal Canadiens,2,3,L,SO,23,22,10,L 9,47,4,1,0,25,12,1,0,
384,56,2/6/10,Home,Vancouver Canucks,2,3,L,SO,23,22,11,L 10,43,15,2,0,31,17,0,0,
385,57,2/7/10,Away,Montreal Canadiens,3,0,W,,24,22,11,W 1,27,9,0,0,36,7,0,0,
386,58,2/9/10,Away,Buffalo Sabres,3,2,W,SO,25,22,11,W 2,34,16,0,0,45,14,1,0,
387,59,2/11/10,Away,Tampa Bay Lightning,5,4,W,,26,22,11,W 3,36,21,1,0,35,17,1,0,
388,60,2/13/10,Away,Florida Panthers,3,2,W,SO,27,22,11,W 4,39,13,0,0,28,9,1,0,
389,61,3/2/10,Home,Montreal Canadiens,1,4,L,,27,23,11,L 1,24,4,1,0,32,8,0,0,
390,62,3/4/10,Home,Toronto Maple Leafs,3,2,W,SO,28,23,11,W 1,31,20,0,0,26,18,0,0,
391,63,3/6/10,Away,New York Islanders,3,2,W,,29,23,11,W 2,34,17,1,0,39,4,1,0,
392,64,3/7/10,Away,Pittsburgh Penguins,1,2,L,,29,24,11,L 1,22,4,1,0,33,10,0,0,
393,65,3/9/10,Away,Toronto Maple Leafs,3,4,L,OT,29,24,12,L 2,29,6,1,0,30,4,0,0,
394,66,3/11/10,Away,Philadelphia Flyers,5,1,W,,30,24,12,W 1,37,14,0,0,32,24,1,0,
395,67,3/13/10,Away,Montreal Canadiens,2,3,L,,30,25,12,L 1,23,10,0,0,27,10,1,0,
396,68,3/15/10,Away,New Jersey Devils,2,3,L,,30,26,12,L 2,36,12,0,0,28,14,0,0,
397,69,3/16/10,Away,Carolina Hurricanes,5,2,W,,31,26,12,W 1,37,10,0,0,32,8,1,0,
398,70,3/18/10,Home,Pittsburgh Penguins,0,3,L,,31,27,12,L 1,17,26,0,0,31,16,0,0,
399,71,3/21/10,Home,New York Rangers,2,1,W,,32,27,12,W 1,31,23,0,0,24,17,0,0,
400,72,3/23/10,Away,Atlanta Thrashers,4,0,W,,33,27,12,W 2,33,7,0,0,27,9,0,0,
401,73,3/25/10,Home,Tampa Bay Lightning,3,5,L,,33,28,12,L 1,50,8,0,0,18,6,2,0,
402,74,3/27/10,Home,Calgary Flames,5,0,W,,34,28,12,W 1,35,26,3,0,31,15,0,0,
403,75,3/29/10,Home,Buffalo Sabres,2,3,L,,34,29,12,L 1,42,2,0,0,33,4,0,0,
404,76,3/30/10,Away,New Jersey Devils,1,0,W,OT,35,29,12,W 1,34,4,0,0,21,14,0,0,
405,77,4/1/10,Home,Florida Panthers,0,1,L,,35,30,12,L 1,36,2,0,0,20,6,0,0,
406,78,4/3/10,Away,Toronto Maple Leafs,2,1,W,OT,36,30,12,W 1,30,4,0,0,28,4,0,0,
407,79,4/5/10,Away,Washington Capitals,2,3,L,OT,36,30,13,L 1,30,4,0,0,30,6,1,0,
408,80,4/8/10,Home,Buffalo Sabres,3,1,W,,37,30,13,W 1,34,8,0,0,32,12,0,0,
409,81,4/10/10,Home,Carolina Hurricanes,4,2,W,,38,30,13,W 2,42,8,0,3,35,10,0,0,
410,82,4/11/10,Away,Washington Capitals,4,3,W,SO,39,30,13,W 3,38,8,1,0,37,18,0,0,End of season 10'