1,53.7,25,29,100,33.33,29,32,51.72,7,17,106.55,15,10,5,9,1
1,58.33,20,28,50,0,33,32,55.95,13,9,107.14,16,15,7,5,1
0,57.44,20,27,100,0,30,26,52,7,11,91.54,27,20,5,6,0
1,68.33,19,41,66.66,0,24,30,51.55,18,15,101.19,14,10,5,10,1
1,44.61,36,29,80,0,38,31,55.42,14,15,96.24,16,16,10,7,0
1,48.43,33,31,100,0,34,32,45.61,15,24,109.09,17,19,6,6,1
0,54.83,28,34,100,66.66,36,28,58.88,22,16,95.83,22,13,8,7,1
1,53.33,21,24,100,0,26,23,64.77,12,12,92.31,22,8,4,12,0
1,60.31,25,38,100,16.66,41,24,56.06,7,17,119.23,11,11,12,6,1
1,54.16,22,26,50,20,30,31,49.28,9,17,110.53,18,5,7,3,1
0,50.79,31,32,100,0,37,29,62.3,13,8,84.32,27,14,7,14,0
0,59.7,27,40,75,0,38,31,51.22,10,16,99.04,12,14,2,14,0
0,61.11,21,33,100,0,29,36,56.25,13,8,95.91,22,17,9,1,1
0,56.45,27,35,66.66,25,28,41,42.59,10,22,98.99,16,24,11,6,0
1,48.48,34,32,71.42,0,29,45,48.68,10,12,109.94,24,13,2,4,0
0,62.74,19,32,60,0,31,26,62.22,15,4,95.03,20,9,2,8,0
1,51.78,27,29,100,0,31,39,46.46,17,15,97.32,32,17,9,7,0
1,50,24,24,100,0,28,28,50,10,9,104.76,27,14,3,5,1
0,50,20,20,100,0,21,33,39.18,10,10,105.56,21,17,8,6,1
0,57.62,25,34,100,0,40,17,61.17,16,9,97.06,24,14,8,17,1
0,43.63,31,24,100,0,25,28,40.43,9,12,106.94,22,23,4,4,1
0,55.76,23,29,50,0,29,29,43.27,8,20,109.09,15,20,12,13,1
0,46.03,34,29,66.66,20,33,34,45.35,10,14,109.64,18,14,5,3,1
0,67.92,17,36,100,50,34,37,49.14,10,16,107.04,4,14,4,5,1
1,52.54,28,31,33.33,25,35,28,58.33,19,12,97.62,19,13,2,10,0
0,42.37,34,25,100,33.33,25,36,39.24,15,15,93.14,25,8,6,1,0
1,56.25,28,36,66.66,33.33,26,34,50.65,20,12,83.33,24,12,2,8,0
1,51.66,29,31,50,33.33,34,33,52.86,9,8,120.24,27,6,4,3,1
1,47.72,23,21,50,0,26,18,60.49,13,12,100,29,13,2,6,0
1,34.37,42,22,100,0,35,33,58.44,11,10,109.07,22,13,4,5,1
0,59.67,25,37,75,0,33,26,47.79,21,11,104.12,23,23,4,3,1
1,57.14,24,32,100,0,35,35,57.52,17,18,103.42,23,9,8,11,1
0,47.69,34,31,66.66,0,34,34,46.08,14,18,96.55,35,15,2,11,0
0,51.51,32,34,100,33.33,40,34,63.16,16,11,102.67,15,7,7,1,1
1,60.37,21,32,66.66,0,40,33,53.68,12,12,93.95,27,10,1,14,0
0,49.23,33,32,80,33.33,28,45,38.14,10,17,101.56,19,28,9,4,1
1,60,22,33,100,40,38,31,57.89,16,10,116.67,16,16,1,3,1
1,53.84,24,28,100,0,46,36,57.14,12,15,96.59,25,7,0,16,0
1,58.33,30,42,100,20,37,35,48.28,19,16,108.33,17,9,4,3,1
1,59.32,24,35,100,0,39,31,50,14,18,118.18,14,7,4,5,1
0,54.9,23,28,83.33,40,32,25,58.11,9,7,98.51,26,16,4,4,1
0,43.28,38,29,66.66,0,29,42,42.06,16,17,108,30,18,8,5,0
1,47.27,29,26,50,0,36,34,53.76,12,14,99.78,25,10,5,18,0
0,41.26,37,26,100,0,33,37,53.28,17,16,103.51,7,18,8,13,1
0,54.79,33,40,75,0,40,35,56.67,12,16,101.32,8,13,2,6,0
0,53.84,30,35,60,0,44,32,68.22,22,9,106.25,15,23,5,3,0
0,45.58,37,31,80,33.33,29,34,45.74,13,12,101.29,29,15,4,6,1
0,48.07,27,25,100,0,42,34,55.56,14,11,99.31,34,17,5,3,1
1,60.31,25,38,100,20,36,27,51,16,15,103.56,15,14,4,2,1
1,53.84,24,28,100,0,45,25,68.64,19,12,89.47,18,10,2,7,0
1,44.64,31,25,100,0,21,41,38.94,14,15,109.74,29,19,3,2,1
0,46.66,32,28,100,25,37,41,52.38,14,12,97.16,22,14,1,5,0
0,46.77,33,29,60,20,34,35,51.72,14,16,100.3,21,11,5,7,0
1,58.06,26,36,100,0,36,33,55.1,14,13,98.94,30,17,4,9,0
1,59.67,25,37,100,40,37,35,48.98,13,13,100,19,16,2,5,1
1,55.35,25,31,100,25,36,30,48.98,6,19,100.92,16,14,14,13,1
0,50,27,27,75,0,27,40,51.35,8,14,104.63,22,17,14,19,0
1,55.73,27,34,100,25,32,38,41,9,14,124.14,23,14,3,5,1
0,46.42,30,26,100,50,32,41,40.21,11,12,104.76,21,14,11,8,1
0,47.54,32,29,66.66,0,41,26,60.92,17,12,86.91,17,13,12,2,0
1,54.54,20,24,0,0,37,21,63.53,14,7,100,17,13,3,6,0
0,47.61,33,30,100,25,37,32,50,15,18,99.38,24,10,3,3,1
0,43.75,27,21,100,0,27,36,50,8,7,94.55,21,9,4,8,0
1,63.23,25,43,100,20,41,26,61.63,16,11,84.95,27,17,8,5,0
1,47.54,32,29,100,0,40,41,51,17,16,110.81,15,12,2,3,1
0,54,23,27,80,0,20,36,41.25,4,18,114.75,18,15,5,6,1
1,50,23,23,100,14.28,24,28,41.33,7,7,111.76,20,14,5,5,1
1,44.23,29,23,100,0,31,33,39.19,12,13,93.1,28,13,3,4,0
1,53.84,30,35,60,0,35,41,37.93,12,19,101.82,25,15,0,8,0
0,52.11,34,37,50,33.33,33,46,38.74,10,24,114.76,17,18,7,2,1
1,46.05,41,35,100,0,34,35,43.82,18,15,100.85,35,17,7,2,0
0,54.54,35,42,100,66.66,18,39,42.42,13,26,98.05,24,18,3,8,0
0,28.57,45,18,83.33,0,26,35,44.12,6,10,107,11,13,5,5,1
0,52.94,24,27,100,25,25,29,42.55,15,11,115,13,27,6,10,1
1,45.28,29,24,100,33.33,32,20,54.55,15,11,104.17,30,13,10,9,1
1,50,28,28,83.33,16.66,37,30,48.1,6,6,93.44,33,18,2,10,0
1,48.21,29,27,100,75,34,39,46.39,10,16,100.62,34,14,9,4,1
0,49.09,28,27,100,0,21,36,36.78,6,18,112.34,23,19,1,10,1
0,50,21,21,100,0,35,32,46.67,4,14,109.33,24,12,2,3,1
0,50,37,37,100,0,37,29,48.48,18,21,112,19,14,5,5,1
1,44.59,41,33,50,25,42,37,57.41,20,11,91.75,23,11,2,1,0